Job Index,Company Name,Position Title,Top_1_Resume_ID,Top_1_Similarity,Top_2_Resume_ID,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
1,Google,Sales Specialist,78016758,0.9244437602621072,13964744,0.9237739230434099,10549585,0.9187723704466635
2,Apple,Apple Solutions Consultant,13386301,0.943484350442851,23591247,0.935286545693367,59696315,0.93488695579007
3,Netflix,Licensing Coordinator - Consumer Products,26278597,0.9446133420758012,13080868,0.9417253203796958,28867567,0.940288590480304
4,Robert Half,Web Designer,33141415,0.922217117632655,83816738,0.9063754173803275,12144825,0.9047876094056648
5,TrackFive,Web Developer,20314980,0.9404986565469459,29134721,0.9403096411565807,29196643,0.939459059520892
6,DesignUps,Frontend Web Developer,33141415,0.8635783262142698,62994611,0.8532512304097248,26790545,0.8528495813107939
7,"Equisolve, Inc.",Remote Website Designer,18795567,0.9452373635180518,26790545,0.9412949302965564,34317538,0.9408562339650524
8,Zander Insurance Agency,Web Designer,26790545,0.9532115997470942,80679862,0.9512062023192362,29134721,0.9434204218543281
9,Tuff,Web Designer,29134721,0.9453121085261185,80679862,0.9431941365716927,26790545,0.9427712622544367
10,General Dynamics Information Technology,SR. Web Designer,33141415,0.9179586289460628,26790545,0.9108065416279579,29524570,0.8969004017228509
11,Sony Music Entertainment,Web Developer,26790545,0.952230472991454,33141415,0.9449241819808798,18354623,0.9445633144036911
12,Snapshot Interactive,Web Developer,29134721,0.9331550507831257,62994611,0.9261137693663211,41152404,0.9251178925048593
13,Deloitte,Senior UI Designer,18795567,0.9394667137639796,37664296,0.9301499833348512,26790545,0.9265259940182924
14,Themesoft Inc,Wordpress Web Developer,12144825,0.9439406471955721,33141415,0.9414737427279998,83816738,0.9375865056544925
15,Western Governors University,UI Web Designer,18795567,0.9437563805220135,42384185,0.9356878795472281,26790545,0.9350829889328053
16,Sedgwick,Senior Web Designer (REMOTE),26790545,0.9051399708560826,18795567,0.895138662553094,34317538,0.8924406835956179
